Organization Name,Company Homepage URL
Oneok,https://www.oneok.com
Hartford Financial Services Group,https://www.thehartford.com
Charles Schwab,https://www.aboutschwab.com
Steel Dynamics,https://www.steeldynamics.com
Mastercard,https://www.mastercard.com
Sherwin-Williams,https://www.sherwin.com
Genuine Parts,https://www.genpt.com
PG&E,https://www.pgecorp.com
WESCO International,https://www.wesco.com
Murphy USA,https://www.murphyusa.com
WestRock,https://www.westrock.com
International Paper,https://www.internationalpaper.com
Baker Hughes,https://www.bakerhughes.com
United States Steel,https://www.ussteel.com
NextEra Energy,https://www.nexteraenergy.com
Targa Resources,https://www.targaresources.com
Lear,https://www.lear.com
Jones Lang LaSalle,https://www.jll.com
Goodyear Tire & Rubber,https://www.goodyear.com
Marriott International,https://www.marriott.com
Marsh & McLennan,https://www.marshmclennan.com
Altria Group,https://www.altria.com
Coupang,https://www.aboutcoupang.com
Carrier Global,https://www.corporate.carrier.com
Halliburton,https://www.halliburton.com
Delek US Holdings,https://www.delekus.com
Kimberly-Clark,https://www.kimberly-clark.com
Texas Instruments,https://www.ti.com
Bank of New York Mellon,https://www.bnymellon.com
ManpowerGroup,https://www.manpowergroup.com
Whirlpool,https://www.whirlpoolcorp.com
Waste Management,https://www.wm.com
American Electric Power,https://www.aep.com
Emerson Electric,https://www.emerson.com
Aflac,https://www.aflac.com
Cognizant Technology Solutions,https://www.cognizant.com
Becton Dickinson,https://www.bd.com
BJ's Wholesale Club,https://www.bjs.com
Moderna,https://www.modernatx.com
DTE Energy,https://www.dteenergy.com
Land O'Lakes,https://www.landolakesinc.com
Kinder Morgan,https://www.kindermorgan.com
Tenet Healthcare,https://www.tenethealth.com
Devon Energy,https://www.devonenergy.com
Mosaic,https://www.mosaicco.com
Exelon,https://www.exeloncorp.com
General Mills,https://www.generalmills.com
Global Partners,https://www.globalp.com
Western Digital,https://www.westerndigital.com
Lincoln National,https://www.lfg.com
Ross Stores,https://www.rossstores.com
Stryker,https://www.stryker.com
Kyndryl Holdings,https://www.kyndryl.com
Kohl's,https://www.kohls.com
Stanley Black & Decker,https://www.stanleyblackanddecker.com
Colgate-Palmolive,https://www.colgatepalmolive.com
BlackRock,https://www.blackrock.com
Fiserv,https://www.fiserv.com
Estée Lauder,https://www.elcompanies.com
PPG Industries,https://www.ppg.com
Adobe,https://www.adobe.com
Block,https://www.block.xyz
Synchrony Financial,https://www.synchrony.com
Principal Financial,https://www.principal.com
Lumen Technologies,https://www.lumen.com
Corteva,https://www.corteva.com
Andersons,https://www.andersonsinc.com
Lam Research,https://www.lamresearch.com
Edison International,https://www.edisoninvestor.com
Dominion Energy,https://www.dominionenergy.com
Booking Holdings,https://www.bookingholdings.com
Quanta Services,https://www.quantaservices.com
Expeditors International of Washington,https://www.expeditors.com
L3Harris Technologies,https://www.l3harris.com
Reliance Steel & Aluminum,https://www.rsac.com
Live Nation Entertainment,https://www.livenationentertainment.com
DISH Network,https://www.dish.com
DuPont,https://www.dupont.com
Automatic Data Processing,https://www.adp.com
Group 1 Automotive,https://www.group1auto.com
Aramark,https://www.aramark.com
Thor Industries,https://www.thorindustries.com
DXC Technology,https://www.dxc.technology
Viatris,https://www.viatris.com
Reinsurance Group of America,https://www.rgare.com
AutoZone,https://www.autozone.com
PulteGroup,https://www.pultegroupinc.com
Illinois Tool Works,https://www.itw.com
Parker-Hannifin,https://www.parker.com
BorgWarner,https://www.borgwarner.com
Westlake,https://www.westlake.com
Consolidated Edison,https://www.conedison.com
Gap,https://www.gapinc.com
Opendoor Technologies,https://www.opendoor.com
Nordstrom,https://www.nordstrom.com
Asbury Automotive Group,https://www.asburyauto.com
Ball,https://www.ball.com
Kellogg,https://www.kelloggcompany.com
Xcel Energy,https://www.xcelenergy.com
W.W. Grainger,https://www.grainger.com
Discover Financial Services,https://www.discover.com
Baxter International,https://www.baxter.com
Southwestern Energy,https://www.swn.com
DCP Midstream,https://www.dcpmidstream.com
Jacobs Solutions,https://www.jacobs.com
Laboratory Corp. of America,https://www.labcorp.com
CSX,https://www.csx.com
J.B. Hunt Transport Services,https://www.jbhunt.com
Guardian Life Ins. Co. of America,https://www.guardianlife.com
Jackson Financial,https://www.jackson.com
Fidelity National Information Services,https://www.fisglobal.com
Berry Global Group,https://www.berryglobal.com
Sempra,https://www.sempra.com
IQVIA Holdings,https://www.iqvia.com
O'Reilly Automotive,https://www.oreillyauto.com
Leidos Holdings,https://www.leidos.com
Ameriprise Financial,https://www.ameriprise.com
Omnicom Group,https://www.omnicomgroup.com
Tractor Supply,https://www.tractorsupply.com
Corning,https://www.corning.com
Ecolab,https://www.ecolab.com
Icahn Enterprises,https://www.ielp.com
Farmers Insurance Exchange,https://www.farmers.com
Keurig Dr Pepper,https://www.keurigdrpepper.com
Loews,https://www.loews.com
Equitable Holdings,https://www.equitableholdings.com
Sonic Automotive,https://www.sonicautomotive.com
Fox,https://www.foxcorporation.com
American Family Insurance Group,https://www.amfam.com
Entergy,https://www.entergy.com
Fluor,https://www.fluor.com
Vistra,https://www.vistracorp.com
State Street,https://www.statestreet.com
Otis Worldwide,https://www.otis.com
Peter Kiewit Sons',https://www.kiewit.com
Carvana,https://www.carvana.com
Republic Services,https://www.republicservices.com
AECOM,https://www.aecom.com
Universal Health Services,https://www.uhs.com
Pacific Life,https://www.pacificlife.com
VMware,https://www.vmware.com
Western & Southern Financial Group,https://www.westernsouthern.com
MGM Resorts International,https://www.mgmresorts.com
Casey's General Stores,https://www.caseys.com
Crown Holdings,https://www.crowncork.com
Textron,https://www.textron.com
LKQ,https://www.lkqcorp.com
Norfolk Southern,https://www.norfolksouthern.com
Intuit,https://www.intuit.com
Air Products & Chemicals,https://www.airproducts.com
Boston Scientific,https://www.bostonscientific.com
AGCO,https://www.agcocorp.com
Henry Schein,https://www.henryschein.com
Amphenol,https://www.amphenol.com
AES,https://www.aes.com
Mutual of Omaha Insurance,https://www.mutualofomaha.com
Ovintiv,https://www.ovintiv.com
Hormel Foods,https://www.hormelfoods.com
Alcoa,https://www.alcoa.com
International Flavors & Fragrances,https://www.iff.com
Jones Financial (Edward Jones),https://www.edwardjones.com
Dick's Sporting Goods,https://www.dickssportinggoods.com
