Organization Name,Homepage URL,Last Funding Type,Last Funding Amount,Last Funding Date
Crossover Markets Group,https://www.crossovermarkets.com,Series B,"$31,000,000",2026-03-04
Fortem Technologies,https://www.fortemtech.com/,Series B,"$25,000,000",2026-04-22
Selector,https://www.selector.ai,Series B,"$32,000,000",2026-02-18
Ownwell,https://www.ownwell.com,Series B,"$30,000,000",2026-02-19
Jazz,https://jazz.security,Series A,"$43,000,000",2026-03-10
TransFi,https://www.transfi.com,Series A,"$14,200,000",2026-03-18
Cambium,https://cambiumglobal.com,Series B,"$100,000,000",2026-01-05
Echo,https://www.echo.ai/,Series A,"$35,000,000",2025-12-16
Stars + Honey,https://starsandhoney.com,Series A,"$24,000,000",2026-06-09
Ethermed,https://www.ethermed.ai/,Series A,"$8,500,000",2026-04-16
Cogent Security,https://www.cogent.com,Series A,"$42,000,000",2026-02-18
Vori,https://www.vori.com/,Series B,"$22,000,000",2026-05-06
Zip Security,https://www.zipsec.com,Series A,"$13,500,000",2025-07-14
Kobalt Labs,https://www.kobaltlabs.com,Series A,"$11,000,000",2025-12-03
Native,https://www.native.security,Series A,"$31,000,000",2026-03-17
ZaiNar,https://zainartech.com,Series B,"$100,000,000",2026-02-19
definity,https://definity.ai,Series A,"$12,000,000",2026-04-29
Tavus,https://www.tavus.io,Series B,"$40,000,000",2025-11-12
Aqtual,https://aqtual.com,Series B,"$31,000,000",2025-07-10
Accrual,https://www.accrual.com,Series A,"$75,000,000",2026-02-05
Statusphere,https://joinstatus.com/,Series A,"$18,681,881",2026-01-20
BetHog,https://www.bethog.com,Series A,"$10,000,000",2026-04-22
Matia,https://www.matia.io/,Series A,"$21,000,000",2026-02-10
Articul8,https://www.articul8.ai,Series B,"$35,000,000",2026-01-07
Polsia,https://polsia.com,Series A,"$30,000,000",2026-05-25
Truemed,https://www.truemed.com,Series A,"$34,000,000",2025-12-22
Protege,https://www.withprotege.ai,Series A,"$30,000,000",2026-01-07
Braintrust,https://www.braintrust.dev,Series B,"$80,000,000",2026-02-17
Osmo,https://osmo.ai,Series B,"$70,000,000",2026-02-04
Keycard,https://www.keycard.sh,Series A,"$30,000,000",2025-10-21
Vêtir,https://Nas.com,Series A,"$5,500,000",2026-05-21
Artie,https://www.artie.com,Series A,"$15,050,968",2026-01-22
Ilant Health,https://www.ilanthealth.com,Series A,"$15,000,000",2026-04-09
Arintra,https://arintra.com,Series A,"$21,000,000",2025-08-14
AfterQuery,https://www.afterquery.com,Series A,"$30,000,000",2026-04-09
Patlytics,https://www.patlytics.ai/,Series B,"$40,524,991",2026-04-08
Marble,https://www.seemarble.com,Series A,"$30,000,000",2026-06-03
Zenskar,https://www.zenskar.com,Series A,"$15,000,000",2026-04-17
Gridline,https://gridline.co,Series A,"$18,500,000",2026-01-27
PointOne,https://pointone.com/,Series A,"$16,000,000",2026-03-23
Bobyard,https://bobyard.com,Series A,"$35,000,000",2025-12-10
Arcjet,https://arcjet.com,Series A,"$8,500,000",2025-10-08
Corridor,https://corridor.dev/,Series A,"$25,000,000",2026-03-18
AmplifyMD,https://amplifymd.com,Series B,"$20,000,000",2025-09-24
Trayd,https://www.buildtrayd.com,Series A,"$10,000,000",2026-03-25
Sundayapp,https://sundayapp.com,Series B,"$21,000,000",2025-11-12
Pharos,https://www.pharos.xyz/,Series A,"$44,000,000",2026-04-08
Fleet Device Management,https://fleetdm.com/,Series B,"$27,000,000",2025-06-17
Sparrow,https://trysparrow.com,Series B,"$35,000,000",2025-07-29
Simile,https://simile.ai,Series A,"$100,000,000",2026-02-12
Glyphic Biotechnologies,https://www.glyphic.bio,Series A,"$38,000,000",2025-09-26
Veda,https://www.veda.tech/,Series A,"$18,000,000",2025-06-22
Collate,https://collate.com,Series A,"$95,000,000",2026-06-03
Exowatt,https://exowatt.com,Series A,"$50,000,000",2025-11-13
CopilotKit,https://www.copilotkit.ai/,Series A,"$20,500,000",2026-05-05
Blue Water Autonomy,https://www.blw.ai,Series A,"$50,000,000",2025-08-26
Shepherd,https://withshepherd.com,Series B,"$42,000,000",2026-03-24
Terra CO2 Technologies,https://www.terraco2.com/,Series B,"$22,000,000",2026-05-02
Glimpse,https://www.tryglimpse.com/,Series A,"$35,000,000",2026-03-25
Hoverfly,https://www.hoverflytech.com,Series B,"$20,000,000",2025-10-08
Sundial,https://sundial.so,Series A,"$23,000,000",2025-07-08
Develo,https://develo.com/,Series A,"$14,000,000",2026-05-11
Ever,https://evercars.com,Series A,"$31,000,000",2026-02-12
Vinci,https://www.getvinci.ai/,Series A,"$36,000,000",2025-12-02
Swarm Aero,https://www.swarm.aero,Series A,"$35,000,000",2026-03-11
Standard Intelligence,https://si.inc/,Series A,"$75,000,000",2026-04-30
Novella,https://www.bynovella.com,Series A,"$21,000,000",2026-05-14
BriefCatch,https://briefcatch.com,Series A,"$6,000,000",2025-12-22
Comfy,https://www.comfy.org,Series B,"$30,000,000",2026-04-24
BreezeBio,https://breezebio.com,Series B,"$60,000,000",2026-02-25
PlayerZero,https://www.playerzero.ai,Series A,"$15,000,000",2025-07-30
Perelel,https://perelelhealth.com,Series A,"$27,000,000",2025-11-20
Clarasight,https://www.clarasight.com/,Series A,"$11,500,000",2026-04-28
Yuzu Health,https://yuzu.health,Series A,"$35,000,000",2026-04-06
Talino Fintech Foundry,https://www.talinoventures.com,Series A,"$7,500,000",2026-03-19
Mem0,https://mem0.ai,Series A,"$20,000,000",2025-10-28
Crossbow Therapeutics,https://www.crossbowtx.com,Series B,"$77,000,000",2026-03-18
Cognichip,https://www.cognichip.ai,Series A,"$60,000,000",2026-04-01
Circular Genomics,https://www.circulargenomics.com,Series A,"$15,000,000",2025-12-01
Beacon Biosignals,https://beacon.bio,Series B,"$11,000,000",2026-04-06
april,https://www.getapril.com,Series B,"$38,000,000",2025-07-23
Handle,https://handle.com/,Series B,"$27,000,000",2026-05-22
Mastra,https://mastra.ai/,Series A,"$22,000,000",2026-04-09
Monarch Quantum,https://www.monarchquantum.com,Series A,"$55,000,000",2026-03-31
Acelab,https://acelabusa.com,Series A,"$16,567,158",2025-09-30
Dispatch,https://www.dispatch.io/,Series A,"$18,000,000",2025-09-04
Reveal Technology,https://www.revealtech.ai/,Series B,"$30,000,000",2025-07-29
Airis Labs,https://www.airis-labs.com/,Series B,"$31,000,000",2026-05-27
Pursuit,https://pursuit.us,Series A,"$22,000,000",2026-04-29
Onyx Security,https://www.onyx.security,Series A,"$35,000,000",2026-03-12
Fesarius Therapeutics,https://www.fesariustherapeutics.com,Series A,"$20,000,000",2026-06-10
Axion,https://www.axion.com,Series B,"$37,000,000",2025-12-15
TULU,https://www.tulu.io,Series A,"$17,000,000",2025-11-19
Juvena Therapeutics,https://www.juvenatherapeutics.com,Series B,"$33,500,000",2026-01-12
SimpliFed,https://www.simplifed.com,Series A,"$10,800,000",2026-04-07
Consensus,https://consensus.app,Series B,"$30,000,000",2026-05-11
Alaffia Health,https://www.alaffiahealth.com,Series B,"$55,000,000",2026-02-03
Humanly.io,https://humanly.io/,Series B,"$25,000,000",2026-04-08
LighthouseAI,https://lighthouseai.com/,Series A,"$8,000,000",2026-04-24
NetBox Labs,https://netboxlabs.com/,Series B,"$35,000,000",2025-07-14
Ocean,https://ocean.insure,Series A,"$20,000,000",2026-05-19
Tamarind Bio,https://www.tamarind.bio/,Series A,"$13,600,000",2026-02-24
Serval,https://www.serval.com,Series B,"$75,000,000",2025-12-11
Vyriad,https://www.vyriad.com/,Series B,"$25,000,000",2025-12-23
Osteoboost,https://osteoboost.com/,Series A,"$8,000,000",2026-04-09
BrainCheck,https://www.braincheck.com,Series A,"$13,000,000",2026-02-26
Courtyard,https://courtyard.io,Series A,"$30,000,000",2025-07-24
Sixfold AI,https://www.sixfold.ai,Series B,"$30,000,000",2026-01-29
Sage Geosystems,https://www.sagegeosystems.com,Series B,"$97,000,000",2026-01-21
Keebler Health,https://keebler.health,Series A,"$16,000,000",2026-04-15
Clairity,https://clairity.com,Series B,"$43,000,000",2025-11-13
Letter AI,https://www.letter.ai,Series B,"$40,000,000",2026-02-24
Latent,https://latenthealth.com,Series A,"$80,000,000",2026-03-18
Hyphen,https://usehyphen.com/,Series B,"$35,000,000",2025-08-13
Nervonik,https://nervonik.com/,Series B,"$52,500,000",2026-04-27
BrightAI,https://www.bright.ai,Series A,"$51,000,000",2025-07-18
Kalogon,https://www.kalogon.com,Series A,"$5,750,000",2026-06-04
Tracebit,https://tracebit.com,Series A,"$20,000,000",2026-03-17
Wheel the World,https://wheeltheworld.com,Series A,"$11,000,000",2026-02-25
Curve Biosciences,https://www.curvebio.com,Series A,"$40,000,000",2025-10-29
Nixtla,https://www.nixtla.io/,Series A,"$16,000,000",2025-12-16
Checkbox,https://www.checkbox.ai,Series A,"$23,000,000",2026-01-28
Mediar Therapeutics,https://www.mediartx.com,Series B,"$76,000,000",2026-01-07
Curi Bio,https://www.curibio.com,Series B,"$10,000,000",2025-12-02
Excellergy,https://excellergy.com,Series A,"$70,000,000",2025-10-13
PeakMetrics,https://www.peakmetrics.com,Series A,"$6,000,000",2026-04-09
Synthpop,https://www.synthpop.ai,Series A,"$15,000,000",2026-02-03
Forecastr,https://www.forecastr.co,Series A,"$7,000,000",2026-05-19
Mezcla,https://eatmezcla.com,Series B,"$9,500,000",2026-03-02
Scalvy,https://www.scalvy.com/,Series A,"$13,900,000",2026-03-26
Tutor Intelligence,https://tutorintelligence.com/,Series A,"$34,000,000",2025-12-01
"Ares Interactive, Inc.",https://www.aresinteractive.com,Series A,"$70,000,000",2026-02-03
Joy,https://joy.co,Series A,"$14,000,000",2025-11-12
AWOL Vision,https://www.awolvision.com,Series B,,2026-04-05
Radial,https://meetradial.co,Series A,"$50,000,000",2025-12-09
Mine,https://usemine.com/,Series A,"$14,000,000",2026-01-26
Ernesta,https://www.ernestarugs.com,Series B,"$20,000,000",2026-03-11
Wispr Flow,https://wisprflow.ai,Series A,"$25,000,000",2025-11-20
Nectir,https://www.nectir.io/,Series A,"$12,500,000",2026-03-10
Golden Child,https://mygoldenchild.com/,Series A,"$37,000,000",2026-04-28
Deccan AI,https://www.deccan.ai,Series A,"$25,000,000",2026-03-25
Xscape Photonics,https://www.xscapephotonics.com/,Series A,"$37,000,000",2026-03-11
Deeptune,https://deeptune.ai,Series A,"$43,000,000",2026-03-19
Neros Technologies,https://www.neros.tech,Series B,"$75,000,000",2025-11-10
Artemis,https://artemissecurity.com,Series A,"$55,000,000",2026-04-15
Rivet Industries,https://www.rivet.us/,Series A,"$57,538,804",2026-03-31
RIIG,https://www.riigtech.com,Series A,"$6,000,000",2026-04-21
Handl Health,https://www.handlhealth.com/,Series A,"$14,200,000",2026-02-23
Auctor,https://getauctor.com,Series A,"$20,000,000",2026-04-15
Gridware,https://gridware.io,Series B,"$55,000,000",2025-11-17
Amigo AI,https://amigo.ai,Series A,"$11,000,000",2026-03-10
Luminai,https://www.luminai.com,Series B,"$38,000,000",2026-04-09
Rainforest,https://www.rainforestpay.com,Series B,"$29,000,000",2025-09-05
Newo.ai,https://newo.ai,Series A,"$25,000,000",2026-02-10
Seasats,https://seasats.com,Series A,"$20,000,000",2026-02-17
ProphetX,https://www.prophetx.co/,Series B,"$10,000,000",2025-10-07
Carecubes,https://www.carecubes.com,Series A,"$6,500,000",2026-03-19
Variance,https://www.variance.com,Series A,"$21,500,000",2026-03-31
Neomorph,https://neomorph.com,Series B,"$100,000,000",2026-04-13
Monk,https://monk.com/,Series A,"$25,000,000",2026-04-21
Fleetzero,https://www.shipfleetzero.com,Series A,"$43,000,000",2026-01-16
Lemurian Labs,https://www.lemurianlabs.com,Series A,"$28,000,000",2025-12-03
Cybord,https://www.cybord.ai,Series A,"$7,000,000",2026-04-28
Arbor Energy,https://arbor.co,Series A,"$55,000,000",2025-10-21
Ultralytics,https://www.ultralytics.com,Series A,"$30,000,000",2025-09-17
Veracity,https://veracityselfcare.com,Series A,"$6,000,000",2025-06-17
When Insurance,https://www.forwhen.com,Series A,"$10,200,000",2026-01-30
Wisdom,https://www.withwisdom.com,Series A,"$21,000,000",2025-08-20
OpenHands,https://www.openhands.one,Series A,"$18,800,000",2025-11-18
Collov Labs,https://collovlabs.com,Series A,"$23,000,000",2026-04-21
Basic Capital,https://www.basiccapital.com,Series A,"$25,000,000",2025-08-18
Dataro,https://dataro.io/,Series A,"$14,280,000",2026-02-17
Normal Computing,https://www.normalcomputing.com/,Series B,"$50,000,000",2026-03-25
Azra AI,https://www.azra-ai.com/,Series A,"$7,945,773",2025-07-03
BIG WATT DIGITAL LLC,https://bigwattdigital.com,Series A,"$31,400,984",2026-01-15
Nominal,https://www.nominal.so,Series A,"$20,000,000",2025-07-09
Arpio,https://arpio.io,Series A,"$15,000,000",2026-06-03
Fluency,https://www.fluency.inc,Series A,"$40,000,000",2025-12-16
Freeform,https://freeformfuture.com,Series B,"$67,000,000",2026-01-07
Medra AI,https://www.medra.ai,Series A,"$52,000,000",2025-12-11
Heven AeroTech,https://www.hevendrones.com/,Series B,"$100,000,000",2025-11-24
Lucid Bots,https://www.lucidbots.com,Series B,"$20,000,000",2026-03-25
Console,https://console.com,Series A,"$23,000,000",2025-09-16
Cambio,https://www.cambio.ai,Series A,"$18,000,000",2026-01-22
Treeline,https://www.treeline.ai/,Series A,"$25,000,000",2026-03-31
Alex AI,https://www.alex.com,Series A,"$17,000,000",2025-09-29
Warp,https://wearewarp.com/,Series A,"$10,000,000",2025-06-12
Quartermaster AI,https://www.quartermaster.us/,Series A,"$43,000,000",2026-05-20
Cosmos,https://cosmos.so,Series A,"$15,000,000",2026-01-20
Dots,https://usedots.com/,Series A,"$8,900,000",2026-02-25
Critical Loop,https://www.criticalloop.com,Series A,"$26,000,000",2026-04-13
Hilbert's AI,https://www.hilberts.ai,Series A,"$28,000,000",2026-04-15
Fuse,https://www.fusefinance.com,Series A,"$25,000,000",2026-03-16
JuliaHub,https://juliahub.com,Series B,"$65,000,000",2026-04-30
MEND,https://mend.me,Series A,"$20,000,000",2025-12-11
NODA AI,https://www.nodaintelligence.ai/,Series A,"$25,000,000",2026-02-26
Attention,https://www.attention.com,Series B,"$21,558,997",2026-04-10
Rowspace,https://rowspace.ai,Series A,"$50,000,000",2026-02-25
Unnatural Products,https://www.unnaturalproducts.com,Series B,"$45,000,000",2026-03-16
Aureka Biotechnologies,https://www.aurekabio.com,Series A,"$35,000,000",2026-04-28
Gradial,https://www.gradial.com,Series B,"$35,000,000",2025-12-03
PactFi,https://www.pactfi.com,Series A,"$25,000,000",2026-03-10
iCOUNTER,https://www.icounter.com/,Series A,"$30,000,000",2025-07-16
NuCicer,https://nucicer.com,Series A,"$11,500,000",2025-07-30
Strala Group,https://www.strala.ai/,Series A,"$51,342,804",2026-04-02
