company_name,path,elapsed_seconds,jobs_found
Parallel,ats_api,1.8,10
Reactor,unknown,1.91,0
Antares,ats_api,0.79,0
Astrocade,ats_api,2.71,0
CodeRabbit,ats_api,2.92,0
Scout Space,ats_api,2.95,0
Axoft,unknown,3.14,0
Coram AI,ats_api,0.55,0
Poetic,ats_api,0.43,0
Terra AI,ats_api,1.18,0
Posh,ats_api,1.16,0
Gray Swan,ats_api,4.37,0
Lassie,ats_api,0.77,0
Allocate,career_scrape,4.86,20
Knox,ats_api,0.62,0
Zocks,ats_api,1.22,16
Monaco,unknown,0.71,0
Venus Aerospace,ats_api,1.17,13
Nectar Social,ats_api,0.54,0
Novig,ats_api,0.79,0
DG Matrix,career_scrape,4.6,2
RemotePass,career_scrape,6.69,0
equipifi,career_scrape,6.78,3
GridCARE,ats_api,0.54,0
Phoenix Tailings,ats_api,2.21,52
Star Catcher,ats_api,0.42,9
WorkWhile,unknown,0.53,0
PointFive,ats_api,1.13,0
Scout AI,career_scrape,5.08,2
FINNY,career_scrape,5.5,1
Inspiren,ats_api,0.5,16
StackAI,ats_api,2.29,0
Resolve.ai,ats_api,1.15,0
depthfirst,career_scrape,4.82,10
Eisen,ats_api,0.54,0
City Therapeutics,ats_api,0.67,6
Mosh,unknown,1.17,0
Countable Labs,unknown,0.62,0
Picogrid,career_scrape,3.62,0
Triomics,ats_api,0.94,0
Higgsfield,ats_api,5.11,0
EDGE Markets,unknown,0.88,0
GovWell,ats_api,1.59,0
Novellia,career_scrape,4.04,0
Lunar Outpost,career_scrape,4.78,1
Ivo,ats_api,0.61,0
InstaLILY AI,ats_api,1.09,24
Firestorm,career_scrape,5.79,0
Nominal,ats_api,0.57,0
Sekai,ats_api,1.48,0
Contraline,career_scrape,3.27,1
Blacksmith,unknown,1.51,0
Giga,ats_api,1.66,0
Judgment Labs,ats_api,1.16,0
Condor Software,ats_api,0.8,0
Featherless.ai,unknown,1.0,0
Pace,unknown,0.88,0
Stand,career_scrape,3.61,1
Wealth.com,ats_api,10.43,0
Bluefish,ats_api,0.77,28
BranchLab,ats_api,1.36,0
Canals,ats_api,0.77,0
Outmarket AI,career_scrape,3.97,22
Lastwall,career_scrape,3.9,12
Benefitbay,unknown,1.07,0
Enzo Health,career_scrape,3.5,1
Orkes,ats_api,0.86,17
